"","player_name","total_shottype","total_shotmade","percentage"
"1","Draymond Green",346,171,2.0233918128655
"2","Klay Thompson",640,329,1.94528875379939
"3","Stephen Curry",563,304,1.85197368421053
"4","Kevin Durant",643,390,1.64871794871795
"5","Andre Igoudala",210,134,1.56716417910448
